id_municipio,rede,diretoria,id_escola,id_escola_sp,nivel_socio_economico
3541000,estadual,SAO VICENTE,35905008,905008,4.92
3551009,estadual,SAO VICENTE,35905012,905012,4.09
3548500,estadual,SANTOS,35905021,905021,3.18
3518404,estadual,GUARATINGUETA,35905045,905045,4.56
3549904,estadual,SAO JOSE DOS CAMPOS,35905100,905100,2.88
3549904,estadual,SAO JOSE DOS CAMPOS,35905112,905112,5.78
3549904,estadual,SAO JOSE DOS CAMPOS,35905124,905124,5.49
3554102,estadual,TAUBATE,35905148,905148,5.03
3504503,estadual,AVARE,35905185,905185,4.98
3522307,estadual,ITAPETININGA,35905239,905239,5.92
3543006,estadual,APIAI,35905252,905252,8.28
3545209,estadual,ITU,35905264,905264,5.57
3545209,estadual,ITU,35905276,905276,4.75
3550209,estadual,ITAPETININGA,35905288,905288,6.79
3552205,estadual,SOROCABA,35905297,905297,3.78
3552205,estadual,SOROCABA,35905306,905306,5.01
3552205,estadual,SOROCABA,35905318,905318,3.98
3552205,estadual,SOROCABA,35905324,905324,3.6
3552205,estadual,SOROCABA,35905331,905331,5.47
3554003,estadual,ITAPETININGA,35905343,905343,5.16
3501905,estadual,MOGI MIRIM,35905380,905380,4.31
3501905,estadual,MOGI MIRIM,35905392,905392,3.62
3503307,estadual,PIRASSUNUNGA,35905409,905409,3.01
3504107,estadual,BRAGANCA PAULISTA,35905410,905410,3.75
3509502,estadual,CAMPINAS OESTE,35905434,905434,6.17
3509502,estadual,CAMPINAS OESTE,35905446,905446,5.62
3509502,estadual,CAMPINAS LESTE,35905458,905458,5.82
3509502,estadual,CAMPINAS OESTE,35905461,905461,5.25
3509502,estadual,CAMPINAS OESTE,35905471,905471,4.42
3515186,estadual,SAO JOAO DA BOA VISTA,35905495,905495,6.06
3530508,estadual,SAO JOAO DA BOA VISTA,35905537,905537,4.1
3533403,estadual,AMERICANA,35905574,905574,4.38
3543907,estadual,LIMEIRA,35905586,905586,5.11
3543907,estadual,LIMEIRA,35905598,905598,4.58
3544004,estadual,CAPIVARI,35905604,905604,5.49
3552403,estadual,SUMARE,35905636,905636,4.76
3552403,estadual,SUMARE,35905641,905641,4.07
3556404,estadual,SAO JOAO DA BOA VISTA,35905665,905665,5.79
3556503,estadual,JUNDIAI,35905677,905677,4.28
3516200,estadual,FRANCA,35905720,905720,5.09
3529302,estadual,ARARAQUARA,35905756,905756,6.85
3543402,estadual,RIBEIRAO PRETO,35905800,905800,7.57
3543402,estadual,RIBEIRAO PRETO,35905811,905811,6.86
3548906,estadual,SAO CARLOS,35905835,905835,3.29
3551702,estadual,SERTAOZINHO,35905847,905847,6.07
3500709,estadual,BAURU,35905859,905859,6.11
3502101,estadual,ANDRADINA,35905914,905914,6.36
3506508,estadual,BIRIGUI,35905926,905926,4.15
3506508,estadual,BIRIGUI,35905938,905938,5.39
3505807,estadual,TUPA,35905975,905975,7.47
3528809,estadual,ASSIS,35905999,905999,4.86
3523305,estadual,MIRACATU,35906049,906049,7.89
3524808,estadual,JALES,35906104,906104,5.46
3525706,estadual,JOSE BONIFACIO,35906116,906116,5.58
3550308,estadual,NORTE 2,35906141,906141,5.72
3550308,estadual,NORTE 2,35906153,906153,5.27
3550308,estadual,LESTE 2,35906165,906165,5.88
3550308,estadual,LESTE 3,35906177,906177,4.61
3550308,estadual,LESTE 3,35906189,906189,4.88
3550308,estadual,LESTE 4,35906190,906190,5.76
3550308,estadual,LESTE 3,35906207,906207,2.98
3516309,estadual,CAIEIRAS,35906232,906232,6.19
3518800,estadual,GUARULHOS NORTE,35906268,906268,5.55
3518800,estadual,GUARULHOS SUL,35906273,906273,5.55
3552502,estadual,SUZANO,35906281,906281,6.06
3552502,estadual,SUZANO,35906293,906293,4.65
3552502,estadual,SUZANO,35906300,906300,6.28
3515707,estadual,SUZANO,35906311,906311,5.91
3530607,estadual,MOGI DAS CRUZES,35906335,906335,4.17
3530607,estadual,MOGI DAS CRUZES,35906347,906347,4.57
3534401,estadual,OSASCO,35906360,906360,3.65
3556453,estadual,SAO ROQUE,35906414,906414,5.05
3552809,estadual,TABOAO DA SERRA,35906426,906426,1.73
3552809,estadual,TABOAO DA SERRA,35906438,906438,4.36
3552809,estadual,TABOAO DA SERRA,35906448,906448,5.37
3552809,estadual,TABOAO DA SERRA,35906463,906463,3.79
3515004,estadual,TABOAO DA SERRA,35906475,906475,4.89
3522208,estadual,ITAPECERICA DA SERRA,35906517,906517,5.75
3550308,estadual,CENTRO OESTE,35906529,906529,2.28
3550308,estadual,SUL 1,35906530,906530,5.68
3550308,estadual,SUL 1,35906542,906542,4.03
3550308,estadual,SUL 2,35906554,906554,5.42
3550308,estadual,SUL 2,35906566,906566,5.38
3550308,estadual,SUL 3,35906578,906578,5.9
3550308,estadual,SUL 3,35906585,906585,4.65
3550308,estadual,SUL 3,35906591,906591,5.97
3513801,estadual,DIADEMA,35906608,906608,3.72
3513801,estadual,DIADEMA,35906612,906612,5.08
3513801,estadual,DIADEMA,35906621,906621,5.26
3513801,estadual,DIADEMA,35906633,906633,4.67
3513801,estadual,DIADEMA,35906645,906645,4.89
3548708,estadual,SAO BERNARDO DO CAMPO,35906669,906669,4.47
3548708,estadual,SAO BERNARDO DO CAMPO,35906670,906670,4.86
3530607,estadual,MOGI DAS CRUZES,35906682,906682,3.93
3510609,estadual,CARAPICUIBA,35906694,906694,3.2
3508504,estadual,TAUBATE,35906748,906748,4.82
3505906,estadual,RIBEIRAO PRETO,35906759,906759,7.44
